일자,시가,고가,저가,종가,MACD 기준선 매수,매수청산,매도,매도청산,
2023/02/27,0.68792,0.68792,0.66975,0.67406,0,0,0,0,
2023/02/21,0.69447,0.69447,0.67215,0.68137,0,0,0,0,
2023/02/13,0.69736,0.70375,0.6817,0.69158,0,0,0,0,
2023/02/06,0.7015,0.7019,0.68645,0.69322,0,0.69322,0.69322,0,
2023/01/30,0.69935,0.71685,0.69285,0.70365,0,0,0,0,
2023/01/23,0.69271,0.7155,0.69271,0.70599,0,0,0,0,
2023/01/17,0.68697,0.70785,0.68697,0.69845,0,0,0,0,
2023/01/09,0.67968,0.701,0.67968,0.69426,0,0,0,0,
2023/01/03,0.67614,0.6906,0.6706,0.68322,0,0,0,0,
2022/12/27,0.67381,0.68405,0.6729,0.67846,0.67846,0,0,0.67846,
2022/12/19,0.67541,0.67875,0.665,0.67221,0,0.67221,0.67221,0,
2022/12/12,0.67423,0.68955,0.6676,0.67659,0,0,0,0,
2022/12/05,0.67036,0.6855,0.6671,0.6781,0,0,0,0,
2022/11/28,0.66473,0.6858,0.66445,0.676,0,0,0,0,
2022/11/21,0.65939,0.67855,0.65905,0.67006,0,0,0,0,
2022/11/14,0.64843,0.68045,0.64843,0.67036,0,0,0,0,
2022/11/07,0.6401,0.6724,0.6394,0.65675,0,0,0,0,
2022/10/31,0.63804,0.6503,0.62805,0.64216,0.64216,0,0,0.64216,
2022/10/24,0.63513,0.65305,0.6281,0.64095,0,0,0,0,
2022/10/17,0.64014,0.64015,0.62145,0.63013,0,0,0,0,
2022/10/10,0.6512,0.6512,0.6181,0.62908,0,0,0,0,
2022/10/03,0.6596,0.6596,0.6365,0.6428,0,0,0,0,
2022/09/26,0.67248,0.67248,0.63715,0.64671,0,0,0,0,
2022/09/19,0.68179,0.68179,0.65205,0.66316,0,0,0,0,
2022/09/12,0.68523,0.69165,0.667,0.67835,0,0,0,0,
2022/09/06,0.69028,0.69028,0.6699,0.68019,0,0,0,0,
2022/08/29,0.69477,0.69575,0.6772,0.68579,0,0,0,0,
2022/08/22,0.69866,0.70105,0.68575,0.69089,0,0.69089,0.69089,0,
2022/08/15,0.69777,0.7128,0.6861,0.69955,0,0,0,0,
2022/08/08,0.69334,0.714,0.6902,0.70219,0,0,0,0,
2022/08/01,0.69093,0.70515,0.68735,0.69576,0,0,0,0,
2022/07/25,0.68574,0.7036,0.68574,0.69611,0.69611,0,0,0.69611,
2022/07/18,0.68429,0.6982,0.6793,0.68719,0,0,0,0,
2022/07/11,0.68857,0.68857,0.6686,0.68001,0,0,0,0,
2022/07/05,0.69367,0.69367,0.67655,0.68348,0,0,0,0,
2022/06/27,0.69971,0.69971,0.6767,0.68763,0,0,0,0,
2022/06/21,0.70567,0.70567,0.68735,0.69376,0,0,0,0,
2022/06/13,0.71366,0.71366,0.6855,0.69768,0,0.69768,0.69768,0,
2022/06/06,0.71347,0.72495,0.70375,0.71385,0,0,0,0,
2022/05/31,0.70695,0.7283,0.70695,0.71999,0,0,0,0,
2022/05/23,0.70324,0.71685,0.70324,0.71066,0.71066,0,0,0.71066,
2022/05/16,0.70873,0.70873,0.68745,0.69775,0,0,0,0,
2022/05/09,0.71982,0.71982,0.68315,0.69763,0,0,0,0,
2022/05/02,0.72825,0.72825,0.70355,0.7114,0,0,0,0,
2022/04/25,0.74015,0.74015,0.70595,0.71635,0,0,0,0,
2022/04/18,0.74654,0.74654,0.72395,0.73375,0,0.73375,0.73375,0,
2022/04/11,0.74833,0.75015,0.73985,0.74476,0,0,0,0,
2022/04/04,0.74486,0.7669,0.7434,0.75179,0,0,0,0,
2022/03/28,0.73871,0.7549,0.73871,0.75101,0,0,0,0,
2022/03/21,0.73051,0.7546,0.73051,0.74691,0,0,0,0,
2022/03/14,0.72802,0.7427,0.7174,0.733,0,0,0,0,
2022/03/07,0.72214,0.74415,0.72214,0.7339,0,0,0,0,
2022/02/28,0.7167,0.73815,0.7167,0.72759,0,0,0,0,
2022/02/22,0.71373,0.7285,0.70955,0.71966,0,0,0,0,
2022/02/14,0.71162,0.72285,0.7087,0.71584,0.71584,0,0,0.71584,
2022/02/07,0.71012,0.72495,0.70665,0.71313,0,0,0,0,
2022/01/31,0.71451,0.71695,0.6988,0.70573,0,0,0,0,
2022/01/24,0.72115,0.72115,0.6968,0.70788,0,0.70788,0.70788,0,
2022/01/18,0.72123,0.7278,0.71705,0.72106,0,0,0,0,
2022/01/10,0.72105,0.73155,0.715,0.72141,0,0,0,0,
2022/01/03,0.7205,0.7278,0.71305,0.7216,0,0,0,0,
2021/12/27,0.71613,0.7279,0.71613,0.72488,0,0,0,0,
2021/12/20,0.7143,0.7253,0.7084,0.71795,0.71795,0,0,0.71795,
2021/12/13,0.71298,0.7227,0.7093,0.71562,0,0,0,0,
2021/12/06,0.71698,0.7187,0.7001,0.70898,0,0,0,0,
2021/11/29,0.72676,0.72676,0.6993,0.70721,0,0,0,0,
2021/11/22,0.7348,0.7348,0.71125,0.71871,0,0,0,0,
2021/11/15,0.74048,0.74048,0.7227,0.72913,0,0,0,0,
2021/11/08,0.74498,0.74498,0.7277,0.73598,0,0.73598,0.73598,0,
2021/11/01,0.74468,0.75375,0.73605,0.74529,0,0,0,0,
2021/10/25,0.73895,0.7557,0.73895,0.75041,0,0,0,0,
2021/10/18,0.73249,0.7548,0.73249,0.74541,0,0,0,0,
2021/10/11,0.72831,0.7442,0.72831,0.73666,0.73666,0,0,0.73666,
2021/10/04,0.72794,0.734,0.7228,0.72869,0,0,0,0,
2021/09/27,0.73045,0.73135,0.71725,0.72542,0,0,0,0,
2021/09/20,0.73423,0.73423,0.7222,0.72666,0,0,0,0,
2021/09/13,0.73662,0.73785,0.7264,0.73185,0,0.73185,0.73185,0,
2021/09/06,0.73247,0.74685,0.73247,0.74076,0,0,0,0,
2021/08/30,0.72659,0.74785,0.72659,0.73835,0.73835,0,0,0.73835,
2021/08/23,0.73079,0.7317,0.71295,0.72237,0,0,0,0,
2021/08/16,0.73689,0.7374,0.71065,0.7247,0,0,0,0,
2021/08/09,0.73785,0.73905,0.73165,0.73593,0,0,0,0,
2021/08/02,0.73941,0.7428,0.73305,0.7363,0,0,0,0,
2021/07/26,0.74287,0.74287,0.7318,0.73594,0,0,0,0,
2021/07/19,0.74936,0.74936,0.7291,0.73639,0,0,0,0,
2021/07/12,0.75393,0.75393,0.7394,0.7448,0,0,0,0,
2021/07/06,0.75703,0.76015,0.74115,0.75082,0,0,0,0,
2021/06/28,0.76051,0.76051,0.74455,0.75355,0,0,0,0,
2021/06/21,0.76672,0.76672,0.7479,0.75429,0,0,0,0,
2021/06/14,0.77302,0.77302,0.74805,0.76043,0,0,0,0,
2021/06/07,0.77337,0.7776,0.76885,0.77268,0,0,0,0,
2021/06/01,0.77489,0.7775,0.76455,0.77185,0,0,0,0,
2021/05/24,0.77679,0.77965,0.76775,0.77299,0,0.77299,0.77299,0,
2021/05/17,0.77771,0.78145,0.7711,0.77587,0,0,0,0,
2021/05/10,0.77499,0.7892,0.76885,0.78043,0,0,0,0,
2021/05/03,0.77238,0.7864,0.7676,0.7776,0,0,0,0,
2021/04/26,0.77047,0.782,0.76975,0.77429,0,0,0,0,
2021/04/19,0.76601,0.78175,0.76601,0.77494,0,0,0,0,
2021/04/12,0.76435,0.7763,0.75865,0.76768,0.76768,0,0,0.76768,
2021/04/05,0.76606,0.7679,0.75895,0.76264,0,0,0,0,
2021/03/29,0.77095,0.77095,0.7534,0.76116,0,0,0,0,
2021/03/22,0.77507,0.7759,0.75655,0.76682,0,0.76682,0.76682,0,
2021/03/15,0.77348,0.78525,0.7702,0.77666,0.77666,0,0,0.77666,
2021/03/08,0.7751,0.78,0.7621,0.77187,0,0,0,0,
2021/03/01,0.77848,0.7839,0.76225,0.77171,0,0.77171,0.77171,0,
2021/02/22,0.77488,0.8008,0.7692,0.78207,0,0,0,0,
2021/02/16,0.76895,0.78785,0.76895,0.78081,0,0,0,0,
2021/02/08,0.76653,0.7773,0.76525,0.77138,0.77138,0,0,0.77138,
2021/02/01,0.76939,0.76939,0.75655,0.76367,0,0,0,0,
2021/01/25,0.77094,0.77665,0.75935,0.76784,0,0.76784,0.76784,0,
2021/01/19,0.77005,0.77855,0.7661,0.77184,0,0,0,0,
2021/01/11,0.76639,0.7808,0.76639,0.77371,0,0,0,0,
2021/01/04,0.75961,0.78245,0.75961,0.77317,0,0,0,0,
2020/12/28,0.7538,0.77465,0.7538,0.76543,0,0,0,0,
2020/12/21,0.74998,0.7615,0.7471,0.75762,0,0,0,0,
2020/12/14,0.74138,0.76475,0.74138,0.75858,0,0,0,0,
2020/12/07,0.73495,0.7572,0.73495,0.74781,0,0,0,0,
2020/11/30,0.72942,0.74505,0.72942,0.74049,0,0,0,0,
2020/11/23,0.7248,0.74005,0.7248,0.73404,0,0,0,0,
2020/11/16,0.72016,0.7341,0.72016,0.72945,0,0,0,0,
2020/11/09,0.71254,0.7342,0.71254,0.72777,0,0,0,0,
2020/11/02,0.71075,0.7291,0.6992,0.71432,0.71432,0,0,0.71432,
2020/10/26,0.71318,0.7159,0.7003,0.70832,0,0,0,0,
2020/10/19,0.71644,0.71644,0.7022,0.70993,0,0,0,0,
