일자,시가,고가,저가,종가,TRIX 기준선 매수,매수청산,매도,매도청산,
2023/03/03,0.67315,0.67545,0.673,0.6753,0,0,0,0,
2023/03/02,0.6759,0.67675,0.6708,0.67305,0,0,0,0,
2023/03/01,0.6735,0.6786,0.66975,0.6754,0,0,0,0,
2023/02/28,0.6741,0.6761,0.67065,0.67375,0,0,0,0,
2023/02/27,0.67305,0.6748,0.67015,0.67385,0,0,0,0,
2023/02/24,0.6812,0.68275,0.67215,0.6729,0,0,0,0,
2023/02/23,0.68105,0.68455,0.67855,0.6809,0,0,0,0,
2023/02/22,0.68625,0.68695,0.67985,0.6801,0,0,0,0,
2023/02/21,0.68785,0.6926,0.6852,0.68585,0,0,0,0,
2023/02/17,0.688,0.68895,0.6817,0.68845,0,0,0,0,
2023/02/16,0.69095,0.6942,0.68455,0.69025,0,0,0,0,
2023/02/15,0.69925,0.6995,0.68705,0.6907,0,0,0,0,
2023/02/14,0.69705,0.70375,0.6928,0.6996,0,0.6996,0.6996,0,
2023/02/13,0.6924,0.69805,0.68975,0.697,0,0,0,0,
2023/02/10,0.69465,0.6968,0.6916,0.6921,0,0,0,0,
2023/02/09,0.6934,0.7019,0.69295,0.69475,0,0,0,0,
2023/02/08,0.69725,0.70045,0.6927,0.69335,0,0,0,0,
2023/02/07,0.68925,0.69985,0.68915,0.69505,0,0,0,0,
2023/02/06,0.69245,0.69575,0.68645,0.6889,0,0,0,0,
2023/02/03,0.70835,0.70895,0.69285,0.6936,0,0,0,0,
2023/02/02,0.71415,0.71685,0.7079,0.7083,0,0,0,0,
2023/02/01,0.7062,0.7156,0.7048,0.7134,0,0,0,0,
2023/01/31,0.7069,0.70765,0.69955,0.70645,0,0,0,0,
2023/01/30,0.7113,0.71325,0.70635,0.70695,0,0,0,0,
2023/01/27,0.71275,0.71415,0.7095,0.71235,0,0,0,0,
2023/01/26,0.71175,0.7155,0.70915,0.71255,0,0,0,0,
2023/01/25,0.70585,0.7135,0.7045,0.71155,0,0,0,0,
2023/01/24,0.7042,0.70715,0.70065,0.70635,0,0,0,0,
2023/01/23,0.69855,0.70535,0.69755,0.70335,0,0,0,0,
2023/01/20,0.6925,0.69875,0.69205,0.6984,0,0,0,0,
2023/01/19,0.6956,0.6962,0.6886,0.6932,0,0,0,0,
2023/01/18,0.70035,0.70785,0.695,0.69595,0,0,0,0,
2023/01/17,0.69895,0.70345,0.69455,0.7004,0,0,0,0,
2023/01/13,0.69815,0.701,0.6931,0.6993,0,0,0,0,
2023/01/12,0.6921,0.70005,0.6874,0.6988,0,0,0,0,
2023/01/11,0.69135,0.69425,0.68895,0.69285,0,0,0,0,
2023/01/10,0.693,0.69445,0.6876,0.6911,0,0,0,0,
2023/01/09,0.68935,0.69675,0.6892,0.6952,0,0,0,0,
2023/01/06,0.67705,0.69045,0.6732,0.69,0,0,0,0,
2023/01/05,0.6854,0.68635,0.67525,0.67755,0,0,0,0,
2023/01/04,0.67485,0.6906,0.6735,0.68585,0,0,0,0,
2023/01/03,0.6817,0.6854,0.6706,0.6754,0,0,0,0,
